user_id,email,username,password_hash,phone_number,role,rating_avg,created_at
1,abdul.bookwala1@example.edu,abdul_bookwala,x,8569861234,driver,4.72,2025-10-02T00:00:00
2,quincy.lu2@example.edu,quincy_lu,x,8569862334,driver,4.67,2025-10-09T00:00:00
3,ame.shabuse3@example.edu,ame_shabuse,x,8569861334,rider,4.55,2025-10-02T00:00:00
4,ame.lu4@example.edu,ame_lu,x,8569831234,both,4.54,2025-10-10T00:00:00
5,kennan.shajid5@example.edu,kennan_shajid,x,8569861234,both,4.7,2025-10-01T00:00:00
6,maria.brown6@drexel.edu,maria.brown6,x,2152209805,driver,4.41,2025-10-07T00:00:00
7,jamal.jackson7@drexel.edu,jamal.jackson7,x,2152729295,driver,4.62,2025-10-03T00:00:00
8,alex.williams8@drexel.edu,alex.williams8,x,2153834068,rider,3.99,2025-11-15T00:00:00
9,maria.jackson9@drexel.edu,maria.jackson9,x,2155519187,rider,4.09,2025-11-07T00:00:00
10,avery.smith10@drexel.edu,avery.smith10,x,2158365337,driver,4.28,2025-10-10T00:00:00
11,casey.martinez11@drexel.edu,casey.martinez11,x,2152857401,rider,4.05,2025-10-07T00:00:00
12,charlie.anderson12@drexel.edu,charlie.anderson12,x,2157064421,rider,4.83,2025-10-08T00:00:00
13,drew.williams13@drexel.edu,drew.williams13,x,2156630852,rider,4.52,2025-11-10T00:00:00
14,elliot.anderson14@drexel.edu,elliot.anderson14,x,2156843180,rider,4.93,2025-11-19T00:00:00
15,sam.williams15@drexel.edu,sam.williams15,x,2159174925,rider,4.65,2025-10-07T00:00:00
16,drew.rodriguez16@drexel.edu,drew.rodriguez16,x,2155803481,driver,4.15,2025-10-14T00:00:00
17,jamal.rodriguez17@drexel.edu,jamal.rodriguez17,x,2157887295,both,4.69,2025-11-11T00:00:00
18,taylor.white18@drexel.edu,taylor.white18,x,2157326583,rider,4.37,2025-10-25T00:00:00
19,avery.jackson19@drexel.edu,avery.jackson19,x,2153842265,driver,4.16,2025-11-23T00:00:00
20,lina.johnson20@drexel.edu,lina.johnson20,x,2153921394,driver,4.54,2025-10-05T00:00:00
21,casey.thompson21@drexel.edu,casey.thompson21,x,2159351504,driver,4.02,2025-10-14T00:00:00
22,maria.moore22@drexel.edu,maria.moore22,x,2155318800,both,4.26,2025-10-09T00:00:00
23,jamie.jackson23@drexel.edu,jamie.jackson23,x,2156521269,rider,4.23,2025-11-07T00:00:00
24,logan.thompson24@drexel.edu,logan.thompson24,x,2155350414,rider,4.62,2025-11-01T00:00:00
25,taylor.johnson25@drexel.edu,taylor.johnson25,x,2159223454,rider,4.4,2025-11-10T00:00:00
26,riley.thomas26@drexel.edu,riley.thomas26,x,2157003041,rider,3.42,2025-11-03T00:00:00
27,avery.jackson27@drexel.edu,avery.jackson27,x,2159220743,both,5.0,2025-11-13T00:00:00
28,diego.brown28@drexel.edu,diego.brown28,x,2157718601,both,4.4,2025-10-22T00:00:00
29,morgan.wilson29@drexel.edu,morgan.wilson29,x,2155647075,rider,3.72,2025-10-01T00:00:00
30,diego.rodriguez30@drexel.edu,diego.rodriguez30,x,2156199220,driver,4.21,2025-11-10T00:00:00
31,sam.martin31@drexel.edu,sam.martin31,x,2157108412,rider,4.39,2025-10-24T00:00:00
